54,Round 1,"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Data Science),B.Tech,Home State,OPEN(AF),Both Male and Female Seats,460468,564060,,,,,,,,,,,,
55,Round 1,"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Internet Of Things),B.Tech,Home State,EWS(GL),Female Seats,524568,527144,,,,,,,,,,,,
56,Round 1,"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Electronics Engineering (VLSI Design and Technology),B.Tech,Home State,BC,Both Male and Female Seats,902316,1336809,,,,,,,,,,,,
57,Round 1,"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Artificial Intelligence)(Collaboration & Twining Program),B.Tech,All India,OPEN,Both Male and Female Seats,52896,295365,,,,,,,,,,,,
58,Round 1,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Data Science),B.Tech,Home State,SC(Girl),Female Seats,375050,423657,,,,,,,,,,,,
59,Round 1,"I.M.S. ENGINEERING COLLEGE,GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,BC,Both Male and Female Seats,458537,587770,,,,,,,,,,,,
60,Round 1,"I.M.S. ENGINEERING COLLEGE,GHAZIABAD",Electronics and Communication Engineering,B.Tech,Home State,BC,Both Male and Female Seats,1045284,1128966,,,,,,,,,,,,
61,Round 1,"I.M.S. ENGINEERING COLLEGE,GHAZIABAD",Information Technology,B.Tech,Home State,EWS(GL),Female Seats,852182,852182,,,,,,,,,,,,
62,Round 1,"I.M.S. ENGINEERING COLLEGE,GHAZIABAD",Computer Science,B.Tech,Home State,OPEN(GIRL),Female Seats,619875,826192,,,,,,,,,,,,
63,Round 1,"I.M.S. ENGINEERING COLLEGE,GHAZIABAD",Computer Science And Design,B.Tech,Home State,BC,Both Male and Female Seats,1209621,1209621,,,,,,,,,,,,
64,Round 1,"I.M.S. ENGINEERING COLLEGE,GHAZIABAD",Computer Science And Design,B.Tech,Home State,OPEN,Both Male and Female Seats,722872,1156146,,,,,,,,,,,,
65,Round 1,"I.M.S. ENGINEERING COLLEGE,GHAZIABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,529411,588203,,,,,,,,,,,,
66,Round 1,"I.M.S. ENGINEERING COLLEGE,GHAZIABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,OPEN(GIRL),Female Seats,496238,546682,,,,,,,,,,,,
